n_key,n_bits,n_ranks,n_threads,oversample,distribution,local_sort_algorithm,merging_strategy,seed,sorted_ok,multiset_signature_ok,time_generation_seconds,time_local_sort_seconds,time_sampling_seconds,time_partition_seconds,time_communication_seconds,time_merge_seconds,time_verify_seconds,time_total_seconds
1000000000,64,4,1,1,uniform,radix,bin,1,yes,yes,0.894417436,18.494482374,0.130595462,0.000007820,4.442903076,4.266676155,0.314849934,27.186174744
1000000000,64,8,1,1,uniform,radix,bin,1,yes,yes,0.453191333,8.706269018,0.056885741,0.000018511,2.792261142,3.266194484,0.446324165,14.514999776
1000000000,64,16,1,1,uniform,radix,bin,1,yes,yes,0.264485786,4.229054367,0.070635739,0.000032170,2.221478287,3.225357553,0.289391227,8.836067511
1000000000,64,32,1,1,uniform,radix,bin,1,yes,yes,0.119555071,2.020951713,0.128460670,0.000071301,2.142592274,3.179921447,0.064760540,6.026654566
1000000000,64,64,1,1,uniform,radix,bin,1,yes,yes,0.107419569,1.085010031,0.103820893,0.000121691,1.397334768,2.282175377,0.026395955,3.836387482
1000000000,64,128,1,1,uniform,radix,bin,1,yes,yes,0.080789212,0.439973611,0.151260168,0.001645904,1.778910350,2.013158805,0.031926231,3.291414108
1000000000,64,256,1,1,uniform,radix,bin,1,yes,yes,0.048194524,0.208714527,0.097316669,0.000834269,2.257437887,1.753833980,0.019341464,3.361977085
1000000000,64,4,1,1,uniform,radix,bin,1,yes,yes,0.892248304,18.467172100,0.252084323,0.000009270,4.548951713,4.245263590,0.631745087,27.486578504
1000000000,64,8,1,1,uniform,radix,bin,1,yes,yes,0.450451545,8.722273108,0.069442848,0.000021011,2.756236450,3.241841759,0.289015413,14.351511401
1000000000,64,16,1,1,uniform,radix,bin,1,yes,yes,0.256165723,4.213816734,0.073811401,0.000031861,2.257086546,3.235260713,0.279800820,8.813183512
1000000000,64,32,1,1,uniform,radix,bin,1,yes,yes,0.149419181,2.044341288,0.140368230,0.000067991,2.171764519,3.169027768,0.118736333,6.094054194
1000000000,64,64,1,1,uniform,radix,bin,1,yes,yes,0.139087807,1.028640294,0.085376988,0.000117431,1.431807497,2.298621573,0.026018331,3.817773675
1000000000,64,128,1,1,uniform,radix,bin,1,yes,yes,0.064989223,0.471193933,0.092818267,0.000140422,1.564147934,2.007428198,0.036305035,3.095604789
1000000000,64,256,1,1,uniform,radix,bin,1,yes,yes,0.033946182,0.215868409,0.099664026,0.001438235,2.253242413,1.757723499,0.019389924,3.371852025
1000000000,64,4,1,1,uniform,radix,bin,1,yes,yes,0.878824579,18.454610015,0.258791221,0.000008830,4.685256210,4.270963488,0.355096148,27.130142053
1000000000,64,8,1,1,uniform,radix,bin,1,yes,yes,0.455705719,8.730605042,0.076709271,0.000017060,2.791373943,3.267991172,0.405089489,14.477013963
1000000000,64,16,1,1,uniform,radix,bin,1,yes,yes,0.264673459,4.215958086,0.077012614,0.000033740,2.291892826,3.256675718,0.291797821,8.867529607
1000000000,64,32,1,1,uniform,radix,bin,1,yes,yes,0.120563121,2.032109805,0.122604602,0.000061471,2.045968106,3.167477511,0.064141034,6.033655947
1000000000,64,64,1,1,uniform,radix,bin,1,yes,yes,0.110712553,1.062261072,0.092650281,0.000111691,1.475530566,2.335952278,0.026028761,3.886622066
1000000000,64,128,1,1,uniform,radix,bin,1,yes,yes,0.076606420,0.447253874,0.090266895,0.001719967,1.522436725,1.999602599,0.037091373,3.050466697
1000000000,64,256,1,1,uniform,radix,bin,1,yes,yes,0.040537347,0.208918739,0.087291423,0.000984279,2.177905695,1.755525907,0.019933391,3.296906842
1000000000,64,4,1,1,uniform,radix,bin,1,yes,yes,0.894444386,18.422642742,0.145426252,0.000009170,4.680137769,4.374388707,0.336070646,27.260173579
1000000000,64,8,1,1,uniform,radix,bin,1,yes,yes,0.470427876,8.725037155,0.095560419,0.000016711,2.785240083,3.233759278,0.407850107,14.454826220
1000000000,64,16,1,1,uniform,radix,bin,1,yes,yes,0.262168144,4.227240739,0.060839331,0.000032590,2.264582120,3.275880071,0.277306596,8.855885300
1000000000,64,32,1,1,uniform,radix,bin,1,yes,yes,0.154049008,2.056283938,0.099892604,0.000066430,2.108284053,3.161852835,0.119546530,6.066491297
1000000000,64,64,1,1,uniform,radix,bin,1,yes,yes,0.105498540,1.088833719,0.116208818,0.000112141,1.459337602,2.312192649,0.026176143,3.860765897
1000000000,64,128,1,1,uniform,radix,bin,1,yes,yes,0.066651880,0.476721090,0.110692401,0.000145771,1.620759160,2.012043444,0.034904140,3.140536062
1000000000,64,256,1,1,uniform,radix,bin,1,yes,yes,0.036536057,0.209175462,0.104827781,0.001609570,2.166001373,1.754973791,0.020227514,3.276889562
