n_key,n_bits,n_ranks,n_threads,oversample,distribution,local_sort_algorithm,merging_strategy,seed,sorted_ok,multiset_signature_ok,time_generation_seconds,time_local_sort_seconds,time_sampling_seconds,time_partition_seconds,time_communication_seconds,time_merge_seconds,time_verify_seconds,time_total_seconds
80000000,64,4,4,1,uniform,radix,bin,1,yes,yes,0.104540191,0.429957929,0.104117156,0.000006070,0.428588787,0.348012036,0.025887051,1.244623285
160000000,64,8,4,1,uniform,radix,bin,1,yes,yes,0.106209317,0.349934496,0.140449261,0.000012960,0.505284909,0.519858293,0.024686228,1.364902682
320000000,64,16,4,1,uniform,radix,bin,1,yes,yes,0.107464089,0.548238748,0.213968519,0.000026540,0.907205033,1.056437473,0.026849210,1.956919969
640000000,64,32,4,1,uniform,radix,bin,1,yes,yes,0.107851204,0.356294329,0.220744127,0.000078141,1.619235328,2.037173626,0.031209484,3.144439090
80000000,64,4,4,1,uniform,radix,bin,1,yes,yes,0.107380639,0.516017274,0.074567769,0.000006070,0.429461894,0.343483791,0.023738018,1.211565512
160000000,64,8,4,1,uniform,radix,bin,1,yes,yes,0.106626901,0.474167884,0.078519709,0.000013150,0.507535769,0.515745661,0.025116982,1.367991783
320000000,64,16,4,1,uniform,radix,bin,1,yes,yes,0.110993085,0.501660690,0.080768931,0.000028201,0.767939433,1.034861616,0.031867161,1.928291822
640000000,64,32,4,1,uniform,radix,bin,1,yes,yes,0.112094226,0.529563800,0.222982760,0.000072871,1.613104215,2.052552831,0.030940311,3.170895876
80000000,64,4,4,1,uniform,radix,bin,1,yes,yes,0.104705392,0.515821202,0.032031152,0.000005720,0.390775206,0.346324748,0.025076243,1.219861055
160000000,64,8,4,1,uniform,radix,bin,1,yes,yes,0.091255307,0.494682730,0.156040968,0.000015380,0.592052689,0.526687622,0.028599237,1.396954895
320000000,64,16,4,1,uniform,radix,bin,1,yes,yes,0.107700133,0.551112907,0.214724708,0.000027810,0.921211395,1.059039170,0.022976881,1.985071683
640000000,64,32,4,1,uniform,radix,bin,1,yes,yes,0.107467979,0.501256706,0.219972220,0.000046400,1.621322196,2.025846823,0.030589027,3.139848484
80000000,64,4,4,1,uniform,radix,bin,1,yes,yes,0.107730502,0.487426627,0.118347389,0.000005900,0.468017424,0.339077697,0.022890040,1.252338912
160000000,64,8,4,1,uniform,radix,bin,1,yes,yes,0.096037905,0.349703123,0.171106940,0.000013130,0.590003207,0.514975094,0.030003732,1.370198125
320000000,64,16,4,1,uniform,radix,bin,1,yes,yes,0.107199757,0.431818878,0.219358324,0.000027590,0.898664240,1.035053779,0.028226724,1.951441755
640000000,64,32,4,1,uniform,radix,bin,1,yes,yes,0.109615711,0.358603863,0.206942489,0.000055091,1.612425390,2.045216937,0.032738019,3.166804515
