# OSU MPI All-to-Allv Personalized Exchange Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1024                   25.39
2048                   33.24
4096                   54.26
8192                   79.10
16384                  75.55
32768                 130.72
65536                 274.43
131072                574.92
262144                803.63
524288               1100.50
1048576              2541.24
2097152              6022.37
4194304             13811.93
8388608             28333.44
16777216            60516.44
33554432           117866.21
