n_key,n_bits,n_ranks,n_threads,oversample,distribution,local_sort_algorithm,merging_strategy,seed,sorted_ok,multiset_signature_ok,time_generation_seconds,time_local_sort_seconds,time_sampling_seconds,time_partition_seconds,time_communication_seconds,time_merge_seconds,time_verify_seconds,time_total_seconds
50000000,64,8,8,1,uniform,radix,bin,1,yes,yes,0.027188853,0.393756826,0.005391318,0.000015101,0.135427881,0.158380638,0.009817236,0.671026046
50000000,64,8,8,2,uniform,radix,bin,1,yes,yes,0.023317221,0.397221364,0.008736994,0.000018100,0.099588735,0.125706606,0.008011797,0.629340006
50000000,64,8,8,4,uniform,radix,bin,1,yes,yes,0.023153799,0.399728580,0.002295015,0.000014680,0.073845467,0.108346828,0.007213308,0.613625017
50000000,64,8,8,8,uniform,radix,bin,1,yes,yes,0.023146320,0.399108404,0.005005804,0.000014040,0.068564780,0.099013328,0.006806303,0.602865731
50000000,64,8,8,16,uniform,radix,bin,1,yes,yes,0.023232920,0.404637724,0.008377560,0.000016081,0.063798986,0.094164275,0.006575161,0.601274664
50000000,64,8,8,32,uniform,radix,bin,1,yes,yes,0.023182740,0.393756886,0.003713491,0.000015010,0.051606467,0.091180473,0.006581951,0.590239396
50000000,64,8,8,64,uniform,radix,bin,1,yes,yes,0.023254120,0.403896335,0.012606006,0.000013040,0.063516976,0.090818930,0.006357908,0.595509871
50000000,64,8,8,1,uniform,radix,bin,1,yes,yes,0.023203851,0.395166442,0.006566531,0.000014920,0.136320210,0.158557070,0.009567643,0.667499899
50000000,64,8,8,2,uniform,radix,bin,1,yes,yes,0.023223551,0.387724981,0.006963705,0.000017610,0.103217193,0.126099580,0.008302170,0.632641792
50000000,64,8,8,4,uniform,radix,bin,1,yes,yes,0.023281931,0.397096272,0.009306361,0.000014980,0.079538338,0.107941434,0.007070396,0.609224670
50000000,64,8,8,8,uniform,radix,bin,1,yes,yes,0.023318701,0.397072012,0.006002835,0.000018350,0.074310771,0.098695234,0.007042396,0.607717204
50000000,64,8,8,16,uniform,radix,bin,1,yes,yes,0.023160479,0.395831589,0.005156365,0.000015880,0.058954905,0.094058514,0.006975086,0.595328949
50000000,64,8,8,32,uniform,radix,bin,1,yes,yes,0.023141399,0.397242063,0.006216258,0.000017010,0.057923055,0.092626679,0.006530380,0.589816700
50000000,64,8,8,64,uniform,radix,bin,1,yes,yes,0.023271571,0.399223416,0.005369978,0.000018950,0.056357777,0.089895889,0.006365619,0.593310359
50000000,64,8,8,1,uniform,radix,bin,1,yes,yes,0.023244431,0.396254983,0.006627012,0.000015370,0.137705465,0.157439978,0.009485632,0.672481352
50000000,64,8,8,2,uniform,radix,bin,1,yes,yes,0.023246241,0.396487846,0.007963086,0.000013720,0.100087688,0.126177441,0.008006766,0.632363919
50000000,64,8,8,4,uniform,radix,bin,1,yes,yes,0.023447812,0.389061165,0.013842449,0.000035891,0.085555382,0.108120967,0.007121646,0.610135139
50000000,64,8,8,8,uniform,radix,bin,1,yes,yes,0.023225850,0.393709746,0.016708771,0.000014120,0.078635928,0.098644124,0.006660552,0.604392447
50000000,64,8,8,16,uniform,radix,bin,1,yes,yes,0.023209120,0.399237446,0.009585904,0.000015860,0.065915250,0.094655031,0.006534571,0.598253172
50000000,64,8,8,32,uniform,radix,bin,1,yes,yes,0.023429472,0.400044704,0.008882847,0.000014311,0.058333359,0.091070682,0.006425899,0.590455388
50000000,64,8,8,64,uniform,radix,bin,1,yes,yes,0.023504064,0.393592704,0.004137914,0.000014931,0.056850563,0.090819280,0.006618291,0.593822594
50000000,64,8,8,1,uniform,radix,bin,1,yes,yes,0.023551414,0.393010398,0.007484741,0.000014200,0.138190110,0.159112406,0.009638414,0.670990405
50000000,64,8,8,2,uniform,radix,bin,1,yes,yes,0.023529544,0.395301743,0.006354288,0.000016460,0.099253279,0.126492204,0.008050427,0.638700348
50000000,64,8,8,4,uniform,radix,bin,1,yes,yes,0.023459393,0.390480421,0.006085455,0.000016650,0.079406145,0.108689313,0.007132417,0.609760286
50000000,64,8,8,8,uniform,radix,bin,1,yes,yes,0.023141090,0.401070756,0.004282717,0.000012700,0.075488355,0.099149459,0.006913605,0.617179476
50000000,64,8,8,16,uniform,radix,bin,1,yes,yes,0.023236610,0.402171747,0.008617173,0.000015670,0.064587085,0.094050075,0.006688632,0.599207452
50000000,64,8,8,32,uniform,radix,bin,1,yes,yes,0.023170190,0.402602332,0.007567232,0.000015300,0.057600411,0.092387796,0.006294988,0.596578524
50000000,64,8,8,64,uniform,radix,bin,1,yes,yes,0.023186020,0.394945999,0.011955379,0.000013970,0.063811807,0.090884030,0.006463950,0.591600250
